id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
su_0105_july_2015_ads,StartUp Season 1 Episode 5 (How to Name Your Company),,,audio/su_0105_july_2015_ads.mp3,transcripts/text/su_0105_july_2015_ads.text,transcripts/vtt/su_0105_july_2015_ads.vtt,transcripts/json/su_0105_july_2015_ads.json
su_0209_aug_2015_ads,StartUp Season 2 Episode 9 (Dating Ring of Fire),,,audio/su_0209_aug_2015_ads.mp3,transcripts/text/su_0209_aug_2015_ads.text,transcripts/vtt/su_0209_aug_2015_ads.vtt,transcripts/json/su_0209_aug_2015_ads.json
startup_kitchen_confidential_with_ads,StartUp Season 3 Episode 6 (Kitchen Confidential),,,audio/startup_kitchen_confidential_with_ads.mp3,transcripts/text/startup_kitchen_confidential_with_ads.text,transcripts/vtt/startup_kitchen_confidential_with_ads.vtt,transcripts/json/startup_kitchen_confidential_with_ads.json
01_60_a_simple_question,Reply All Episode 60 (A Simple Question),,,audio/01_60_a_simple_question.mp3,transcripts/text/01_60_a_simple_question.text,transcripts/vtt/01_60_a_simple_question.vtt,transcripts/json/01_60_a_simple_question.json
01_50_the_cathedral,Reply All Episode 50 (The Cathedral),,,audio/01_50_the_cathedral.mp3,transcripts/text/01_50_the_cathedral.text,transcripts/vtt/01_50_the_cathedral.vtt,transcripts/json/01_50_the_cathedral.json
56_zardulu,Reply All Episode 56 (Zardulu),,,audio/56_zardulu.mp3,transcripts/text/56_zardulu.text,transcripts/vtt/56_zardulu.vtt,transcripts/json/56_zardulu.json
ms_04_iluv911-1115ads-ssremoval-dhv02-mb05,Mystery Show Case #4 (Vanity Plate),,,audio/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.mp3,transcripts/text/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.text,transcripts/vtt/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.vtt,transcripts/json/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.json
ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04,Mystery Show Case #3 (Belt Buckle),,,audio/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.mp3,transcripts/text/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.text,transcripts/vtt/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.vtt,transcripts/json/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.json
ms_06_kotter-1115ads-ssremoval-dhv02-mb05,Mystery Show Case #6 (Kotter),,,audio/ms_06_kotter-1115ads-ssremoval-dhv02-mb05.mp3,transcripts/text/ms_06_kotter-1115ads-ssremoval-dhv02-mb05.text,transcripts/vtt/ms_06_kotter-1115ads-ssremoval-dhv02-mb05.vtt,transcripts/json/ms_06_kotter-1115ads-ssremoval-dhv02-mb05.json
circle_of_fifths_final,Surprisingly Awesome Episode 10 (Circle of Fifths),,,audio/circle_of_fifths_final.mp3,transcripts/text/circle_of_fifths_final.text,transcripts/vtt/circle_of_fifths_final.vtt,transcripts/json/circle_of_fifths_final.json
frequent_flyer_miles_final,Surprisingly Awesome Episode 8 (Frequent Flyer Miles),,,audio/frequent_flyer_miles_final.mp3,transcripts/text/frequent_flyer_miles_final.text,transcripts/vtt/frequent_flyer_miles_final.vtt,transcripts/json/frequent_flyer_miles_final.json
insults_final_with_ad,Surprisingly Awesome Episode 13 (Insults),,,audio/insults_final_with_ad.mp3,transcripts/text/insults_final_with_ad.text,transcripts/vtt/insults_final_with_ad.vtt,transcripts/json/insults_final_with_ad.json
smp_e14_draft_2_publishv2_withads,Sampler Episode 14 (All The Ways To Say Lemonade),,,audio/smp_e14_draft_2_publishv2_withads.mp3,transcripts/text/smp_e14_draft_2_publishv2_withads.text,transcripts/vtt/smp_e14_draft_2_publishv2_withads.vtt,transcripts/json/smp_e14_draft_2_publishv2_withads.json
smp_e10_final,Sampler Episode 10 (Raising My Eyebrows),,,audio/smp_e10_final.mp3,transcripts/text/smp_e10_final.text,transcripts/vtt/smp_e10_final.vtt,transcripts/json/smp_e10_final.json
smp-07_rk_bnc2,Sampler Episode 7 (Relationship Goals),,,audio/smp-07_rk_bnc2.mp3,transcripts/text/smp-07_rk_bnc2.text,transcripts/vtt/smp-07_rk_bnc2.vtt,transcripts/json/smp-07_rk_bnc2.json
